"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverese_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
711066004,2000003065,"mimiciv_proc_itemid","Procedure","Procedure",,228136,"1970-01-01","2099-12-31",,46273928,"Maps to","Mapped from","1970-01-01","2099-12-31",
363023007,2000003066,"mimiciv_proc_itemid","Procedure","Procedure",,221214,"1970-01-01","2099-12-31",,4180642,"Maps to","Mapped from","1970-01-01","2099-12-31",
117028002,2000003067,"mimiciv_proc_itemid","Procedure","Procedure",,225814,"1970-01-01","2099-12-31",,4024963,"Maps to","Mapped from","1970-01-01","2099-12-31",
281572005,2000003068,"mimiciv_proc_itemid","Procedure","Procedure",,225464,"1970-01-01","2099-12-31",,4083499,"Maps to","Mapped from","1970-01-01","2099-12-31",
309849004,2000003069,"mimiciv_proc_itemid","Procedure","Procedure",,225449,"1970-01-01","2099-12-31",,4149930,"Maps to","Mapped from","1970-01-01","2099-12-31",
168537006,2000003070,"mimiciv_proc_itemid","Procedure","Procedure",,221216,"1970-01-01","2099-12-31",,4056681,"Maps to","Mapped from","1970-01-01","2099-12-31",
89305009,2000003071,"mimiciv_proc_itemid","Procedure","Procedure",,225445,"1970-01-01","2099-12-31",,4231419,"Maps to","Mapped from","1970-01-01","2099-12-31",
401294003,2000003072,"mimiciv_proc_itemid","Procedure","Procedure",,225816,"1970-01-01","2099-12-31",,4296651,"Maps to","Mapped from","1970-01-01","2099-12-31",
104174003,2000003073,"mimiciv_proc_itemid","Procedure","Procedure",,225437,"1970-01-01","2099-12-31",,4014499,"Maps to","Mapped from","1970-01-01","2099-12-31",
60654006,2000003074,"mimiciv_proc_itemid","Procedure","Procedure",,225457,"1970-01-01","2099-12-31",,4264477,"Maps to","Mapped from","1970-01-01","2099-12-31",
113091000,2000003075,"mimiciv_proc_itemid","Procedure","Procedure",,223253,"1970-01-01","2099-12-31",,4013636,"Maps to","Mapped from","1970-01-01","2099-12-31",
